,Store,Dept,Date,IsHoliday
117,1,1,2012-05-04,False
118,1,1,2012-05-11,False
119,1,1,2012-05-18,False
120,1,1,2012-05-25,False
121,1,1,2012-06-01,False
122,1,1,2012-06-08,False
123,1,1,2012-06-15,False
124,1,1,2012-06-22,False
125,1,1,2012-06-29,False
260,1,2,2012-05-04,False
261,1,2,2012-05-11,False
262,1,2,2012-05-18,False
263,1,2,2012-05-25,False
264,1,2,2012-06-01,False
265,1,2,2012-06-08,False
266,1,2,2012-06-15,False
267,1,2,2012-06-22,False
268,1,2,2012-06-29,False
403,1,3,2012-05-04,False
404,1,3,2012-05-11,False
405,1,3,2012-05-18,False
406,1,3,2012-05-25,False
407,1,3,2012-06-01,False
408,1,3,2012-06-08,False
409,1,3,2012-06-15,False
410,1,3,2012-06-22,False
411,1,3,2012-06-29,False
546,1,4,2012-05-04,False
547,1,4,2012-05-11,False
548,1,4,2012-05-18,False
549,1,4,2012-05-25,False
550,1,4,2012-06-01,False
551,1,4,2012-06-08,False
552,1,4,2012-06-15,False
553,1,4,2012-06-22,False
554,1,4,2012-06-29,False
689,1,5,2012-05-04,False
690,1,5,2012-05-11,False
691,1,5,2012-05-18,False
692,1,5,2012-05-25,False
693,1,5,2012-06-01,False
694,1,5,2012-06-08,False
695,1,5,2012-06-15,False
696,1,5,2012-06-22,False
697,1,5,2012-06-29,False
832,1,6,2012-05-04,False
833,1,6,2012-05-11,False
834,1,6,2012-05-18,False
835,1,6,2012-05-25,False
836,1,6,2012-06-01,False
837,1,6,2012-06-08,False
838,1,6,2012-06-15,False
839,1,6,2012-06-22,False
840,1,6,2012-06-29,False
975,1,7,2012-05-04,False
976,1,7,2012-05-11,False
977,1,7,2012-05-18,False
978,1,7,2012-05-25,False
979,1,7,2012-06-01,False
980,1,7,2012-06-08,False
981,1,7,2012-06-15,False
982,1,7,2012-06-22,False
983,1,7,2012-06-29,False
1118,1,8,2012-05-04,False
1119,1,8,2012-05-11,False
1120,1,8,2012-05-18,False
1121,1,8,2012-05-25,False
1122,1,8,2012-06-01,False
1123,1,8,2012-06-08,False
1124,1,8,2012-06-15,False
1125,1,8,2012-06-22,False
1126,1,8,2012-06-29,False
1261,1,9,2012-05-04,False
1262,1,9,2012-05-11,False
1263,1,9,2012-05-18,False
1264,1,9,2012-05-25,False
1265,1,9,2012-06-01,False
1266,1,9,2012-06-08,False
1267,1,9,2012-06-15,False
1268,1,9,2012-06-22,False
1269,1,9,2012-06-29,False
1404,1,10,2012-05-04,False
1405,1,10,2012-05-11,False
1406,1,10,2012-05-18,False
1407,1,10,2012-05-25,False
1408,1,10,2012-06-01,False
1409,1,10,2012-06-08,False
1410,1,10,2012-06-15,False
1411,1,10,2012-06-22,False
1412,1,10,2012-06-29,False
1547,1,11,2012-05-04,False
1548,1,11,2012-05-11,False
1549,1,11,2012-05-18,False
1550,1,11,2012-05-25,False
1551,1,11,2012-06-01,False
1552,1,11,2012-06-08,False
1553,1,11,2012-06-15,False
1554,1,11,2012-06-22,False
1555,1,11,2012-06-29,False
1690,1,12,2012-05-04,False
1691,1,12,2012-05-11,False
1692,1,12,2012-05-18,False
1693,1,12,2012-05-25,False
1694,1,12,2012-06-01,False
1695,1,12,2012-06-08,False
1696,1,12,2012-06-15,False
1697,1,12,2012-06-22,False
1698,1,12,2012-06-29,False
1833,1,13,2012-05-04,False
1834,1,13,2012-05-11,False
1835,1,13,2012-05-18,False
1836,1,13,2012-05-25,False
1837,1,13,2012-06-01,False
1838,1,13,2012-06-08,False
1839,1,13,2012-06-15,False
1840,1,13,2012-06-22,False
1841,1,13,2012-06-29,False
1976,1,14,2012-05-04,False
1977,1,14,2012-05-11,False
1978,1,14,2012-05-18,False
1979,1,14,2012-05-25,False
1980,1,14,2012-06-01,False
1981,1,14,2012-06-08,False
1982,1,14,2012-06-15,False
1983,1,14,2012-06-22,False
1984,1,14,2012-06-29,False
2119,1,16,2012-05-04,False
2120,1,16,2012-05-11,False
2121,1,16,2012-05-18,False
2122,1,16,2012-05-25,False
2123,1,16,2012-06-01,False
2124,1,16,2012-06-08,False
2125,1,16,2012-06-15,False
2126,1,16,2012-06-22,False
2127,1,16,2012-06-29,False
2262,1,17,2012-05-04,False
2263,1,17,2012-05-11,False
2264,1,17,2012-05-18,False
2265,1,17,2012-05-25,False
2266,1,17,2012-06-01,False
2267,1,17,2012-06-08,False
2268,1,17,2012-06-15,False
2269,1,17,2012-06-22,False
2270,1,17,2012-06-29,False
2384,1,18,2012-05-04,False
2385,1,18,2012-05-11,False
2386,1,18,2012-05-25,False
2387,1,18,2012-06-01,False
2388,1,18,2012-06-08,False
2518,1,19,2012-05-04,False
2519,1,19,2012-05-11,False
