,Store,Dept,Date,IsHoliday
56,1,1,2011-03-04,False
57,1,1,2011-03-11,False
58,1,1,2011-03-18,False
59,1,1,2011-03-25,False
60,1,1,2011-04-01,False
61,1,1,2011-04-08,False
62,1,1,2011-04-15,False
63,1,1,2011-04-22,False
64,1,1,2011-04-29,False
199,1,2,2011-03-04,False
200,1,2,2011-03-11,False
201,1,2,2011-03-18,False
202,1,2,2011-03-25,False
203,1,2,2011-04-01,False
204,1,2,2011-04-08,False
205,1,2,2011-04-15,False
206,1,2,2011-04-22,False
207,1,2,2011-04-29,False
342,1,3,2011-03-04,False
343,1,3,2011-03-11,False
344,1,3,2011-03-18,False
345,1,3,2011-03-25,False
346,1,3,2011-04-01,False
347,1,3,2011-04-08,False
348,1,3,2011-04-15,False
349,1,3,2011-04-22,False
350,1,3,2011-04-29,False
485,1,4,2011-03-04,False
486,1,4,2011-03-11,False
487,1,4,2011-03-18,False
488,1,4,2011-03-25,False
489,1,4,2011-04-01,False
490,1,4,2011-04-08,False
491,1,4,2011-04-15,False
492,1,4,2011-04-22,False
493,1,4,2011-04-29,False
628,1,5,2011-03-04,False
629,1,5,2011-03-11,False
630,1,5,2011-03-18,False
631,1,5,2011-03-25,False
632,1,5,2011-04-01,False
633,1,5,2011-04-08,False
634,1,5,2011-04-15,False
635,1,5,2011-04-22,False
636,1,5,2011-04-29,False
771,1,6,2011-03-04,False
772,1,6,2011-03-11,False
773,1,6,2011-03-18,False
774,1,6,2011-03-25,False
775,1,6,2011-04-01,False
776,1,6,2011-04-08,False
777,1,6,2011-04-15,False
778,1,6,2011-04-22,False
779,1,6,2011-04-29,False
914,1,7,2011-03-04,False
915,1,7,2011-03-11,False
916,1,7,2011-03-18,False
917,1,7,2011-03-25,False
918,1,7,2011-04-01,False
919,1,7,2011-04-08,False
920,1,7,2011-04-15,False
921,1,7,2011-04-22,False
922,1,7,2011-04-29,False
1057,1,8,2011-03-04,False
1058,1,8,2011-03-11,False
1059,1,8,2011-03-18,False
1060,1,8,2011-03-25,False
1061,1,8,2011-04-01,False
1062,1,8,2011-04-08,False
1063,1,8,2011-04-15,False
1064,1,8,2011-04-22,False
1065,1,8,2011-04-29,False
1200,1,9,2011-03-04,False
