,Store,Dept,Date,IsHoliday
126,1,1,2012-07-06,False
127,1,1,2012-07-13,False
128,1,1,2012-07-20,False
129,1,1,2012-07-27,False
130,1,1,2012-08-03,False
131,1,1,2012-08-10,False
132,1,1,2012-08-17,False
133,1,1,2012-08-24,False
134,1,1,2012-08-31,False
269,1,2,2012-07-06,False
270,1,2,2012-07-13,False
271,1,2,2012-07-20,False
272,1,2,2012-07-27,False
273,1,2,2012-08-03,False
274,1,2,2012-08-10,False
275,1,2,2012-08-17,False
276,1,2,2012-08-24,False
277,1,2,2012-08-31,False
412,1,3,2012-07-06,False
413,1,3,2012-07-13,False
414,1,3,2012-07-20,False
415,1,3,2012-07-27,False
416,1,3,2012-08-03,False
417,1,3,2012-08-10,False
418,1,3,2012-08-17,False
419,1,3,2012-08-24,False
420,1,3,2012-08-31,False
555,1,4,2012-07-06,False
556,1,4,2012-07-13,False
557,1,4,2012-07-20,False
558,1,4,2012-07-27,False
559,1,4,2012-08-03,False
560,1,4,2012-08-10,False
561,1,4,2012-08-17,False
562,1,4,2012-08-24,False
563,1,4,2012-08-31,False
698,1,5,2012-07-06,False
699,1,5,2012-07-13,False
700,1,5,2012-07-20,False
701,1,5,2012-07-27,False
702,1,5,2012-08-03,False
703,1,5,2012-08-10,False
704,1,5,2012-08-17,False
705,1,5,2012-08-24,False
706,1,5,2012-08-31,False
841,1,6,2012-07-06,False
842,1,6,2012-07-13,False
843,1,6,2012-07-20,False
844,1,6,2012-07-27,False
845,1,6,2012-08-03,False
846,1,6,2012-08-10,False
847,1,6,2012-08-17,False
848,1,6,2012-08-24,False
849,1,6,2012-08-31,False
984,1,7,2012-07-06,False
985,1,7,2012-07-13,False
986,1,7,2012-07-20,False
987,1,7,2012-07-27,False
988,1,7,2012-08-03,False
989,1,7,2012-08-10,False
990,1,7,2012-08-17,False
991,1,7,2012-08-24,False
992,1,7,2012-08-31,False
1127,1,8,2012-07-06,False
1128,1,8,2012-07-13,False
1129,1,8,2012-07-20,False
1130,1,8,2012-07-27,False
1131,1,8,2012-08-03,False
1132,1,8,2012-08-10,False
1133,1,8,2012-08-17,False
1134,1,8,2012-08-24,False
1135,1,8,2012-08-31,False
1270,1,9,2012-07-06,False
1271,1,9,2012-07-13,False
1272,1,9,2012-07-20,False
1273,1,9,2012-07-27,False
1274,1,9,2012-08-03,False
1275,1,9,2012-08-10,False
1276,1,9,2012-08-17,False
1277,1,9,2012-08-24,False
1278,1,9,2012-08-31,False
1413,1,10,2012-07-06,False
1414,1,10,2012-07-13,False
1415,1,10,2012-07-20,False
1416,1,10,2012-07-27,False
1417,1,10,2012-08-03,False
1418,1,10,2012-08-10,False
1419,1,10,2012-08-17,False
1420,1,10,2012-08-24,False
1421,1,10,2012-08-31,False
1556,1,11,2012-07-06,False
1557,1,11,2012-07-13,False
1558,1,11,2012-07-20,False
1559,1,11,2012-07-27,False
1560,1,11,2012-08-03,False
1561,1,11,2012-08-10,False
1562,1,11,2012-08-17,False
1563,1,11,2012-08-24,False
1564,1,11,2012-08-31,False
1699,1,12,2012-07-06,False
1700,1,12,2012-07-13,False
1701,1,12,2012-07-20,False
1702,1,12,2012-07-27,False
1703,1,12,2012-08-03,False
1704,1,12,2012-08-10,False
1705,1,12,2012-08-17,False
1706,1,12,2012-08-24,False
1707,1,12,2012-08-31,False
1842,1,13,2012-07-06,False
1843,1,13,2012-07-13,False
1844,1,13,2012-07-20,False
1845,1,13,2012-07-27,False
1846,1,13,2012-08-03,False
1847,1,13,2012-08-10,False
1848,1,13,2012-08-17,False
1849,1,13,2012-08-24,False
1850,1,13,2012-08-31,False
1985,1,14,2012-07-06,False
1986,1,14,2012-07-13,False
1987,1,14,2012-07-20,False
1988,1,14,2012-07-27,False
1989,1,14,2012-08-03,False
1990,1,14,2012-08-10,False
1991,1,14,2012-08-17,False
1992,1,14,2012-08-24,False
1993,1,14,2012-08-31,False
2128,1,16,2012-07-06,False
2129,1,16,2012-07-13,False
2130,1,16,2012-07-20,False
2131,1,16,2012-07-27,False
2132,1,16,2012-08-03,False
2133,1,16,2012-08-10,False
2134,1,16,2012-08-17,False
2135,1,16,2012-08-24,False
2136,1,16,2012-08-31,False
2271,1,17,2012-07-06,False
2272,1,17,2012-07-13,False
2273,1,17,2012-07-20,False
2274,1,17,2012-07-27,False
2275,1,17,2012-08-03,False
2276,1,17,2012-08-10,False
2277,1,17,2012-08-17,False
2278,1,17,2012-08-24,False
2279,1,17,2012-08-31,False
2389,1,18,2012-07-20,False
2390,1,18,2012-08-17,False
2391,1,18,2012-08-24,False
2392,1,18,2012-08-31,False
2527,1,19,2012-07-06,False
2528,1,19,2012-07-13,False
2529,1,19,2012-07-20,False
2530,1,19,2012-07-27,False
2531,1,19,2012-08-03,False
2532,1,19,2012-08-10,False
2533,1,19,2012-08-17,False
2534,1,19,2012-08-24,False
2535,1,19,2012-08-31,False
2670,1,20,2012-07-06,False
2671,1,20,2012-07-13,False
2672,1,20,2012-07-20,False
2673,1,20,2012-07-27,False
2674,1,20,2012-08-03,False
2675,1,20,2012-08-10,False
2676,1,20,2012-08-17,False
2677,1,20,2012-08-24,False
2678,1,20,2012-08-31,False
2813,1,21,2012-07-06,False
2814,1,21,2012-07-13,False
2815,1,21,2012-07-20,False
2816,1,21,2012-07-27,False
2817,1,21,2012-08-03,False
2818,1,21,2012-08-10,False
2819,1,21,2012-08-17,False
2820,1,21,2012-08-24,False
2821,1,21,2012-08-31,False
2956,1,22,2012-07-06,False
2957,1,22,2012-07-13,False
2958,1,22,2012-07-20,False
2959,1,22,2012-07-27,False
2960,1,22,2012-08-03,False
2961,1,22,2012-08-10,False
2962,1,22,2012-08-17,False
2963,1,22,2012-08-24,False
2964,1,22,2012-08-31,False
3099,1,23,2012-07-06,False
3100,1,23,2012-07-13,False
3101,1,23,2012-07-20,False
3102,1,23,2012-07-27,False
3103,1,23,2012-08-03,False
3104,1,23,2012-08-10,False
3105,1,23,2012-08-17,False
3106,1,23,2012-08-24,False
3107,1,23,2012-08-31,False
3242,1,24,2012-07-06,False
3243,1,24,2012-07-13,False
3244,1,24,2012-07-20,False
3245,1,24,2012-07-27,False
3246,1,24,2012-08-03,False
3247,1,24,2012-08-10,False
3248,1,24,2012-08-17,False
3249,1,24,2012-08-24,False
3250,1,24,2012-08-31,False
3385,1,25,2012-07-06,False
3386,1,25,2012-07-13,False
3387,1,25,2012-07-20,False
3388,1,25,2012-07-27,False
3389,1,25,2012-08-03,False
3390,1,25,2012-08-10,False
3391,1,25,2012-08-17,False
3392,1,25,2012-08-24,False
3393,1,25,2012-08-31,False
3528,1,26,2012-07-06,False
3529,1,26,2012-07-13,False
3530,1,26,2012-07-20,False
3531,1,26,2012-07-27,False
3532,1,26,2012-08-03,False
3533,1,26,2012-08-10,False
3534,1,26,2012-08-17,False
3535,1,26,2012-08-24,False
3536,1,26,2012-08-31,False
3671,1,27,2012-07-06,False
3672,1,27,2012-07-13,False
3673,1,27,2012-07-20,False
3674,1,27,2012-07-27,False
3675,1,27,2012-08-03,False
3676,1,27,2012-08-10,False
3677,1,27,2012-08-17,False
3678,1,27,2012-08-24,False
3679,1,27,2012-08-31,False
3814,1,28,2012-07-06,False
3815,1,28,2012-07-13,False
3816,1,28,2012-07-20,False
3817,1,28,2012-07-27,False
3818,1,28,2012-08-03,False
3819,1,28,2012-08-10,False
3820,1,28,2012-08-17,False
3821,1,28,2012-08-24,False
3822,1,28,2012-08-31,False
3957,1,29,2012-07-06,False
3958,1,29,2012-07-13,False
3959,1,29,2012-07-20,False
3960,1,29,2012-07-27,False
3961,1,29,2012-08-03,False
3962,1,29,2012-08-10,False
3963,1,29,2012-08-17,False
3964,1,29,2012-08-24,False
3965,1,29,2012-08-31,False
4100,1,30,2012-07-06,False
4101,1,30,2012-07-13,False
4102,1,30,2012-07-20,False
4103,1,30,2012-07-27,False
4104,1,30,2012-08-03,False
4105,1,30,2012-08-10,False
4106,1,30,2012-08-17,False
4107,1,30,2012-08-24,False
4108,1,30,2012-08-31,False
4243,1,31,2012-07-06,False
4244,1,31,2012-07-13,False
4245,1,31,2012-07-20,False
4246,1,31,2012-07-27,False
4247,1,31,2012-08-03,False
4248,1,31,2012-08-10,False
4249,1,31,2012-08-17,False
4250,1,31,2012-08-24,False
4251,1,31,2012-08-31,False
4386,1,32,2012-07-06,False
4387,1,32,2012-07-13,False
4388,1,32,2012-07-20,False
4389,1,32,2012-07-27,False
4390,1,32,2012-08-03,False
4391,1,32,2012-08-10,False
4392,1,32,2012-08-17,False
4393,1,32,2012-08-24,False
4394,1,32,2012-08-31,False
4529,1,33,2012-07-06,False
4530,1,33,2012-07-13,False
4531,1,33,2012-07-20,False
4532,1,33,2012-07-27,False
4533,1,33,2012-08-03,False
4534,1,33,2012-08-10,False
4535,1,33,2012-08-17,False
4536,1,33,2012-08-24,False
4537,1,33,2012-08-31,False
4672,1,34,2012-07-06,False
4673,1,34,2012-07-13,False
4674,1,34,2012-07-20,False
4675,1,34,2012-07-27,False
4676,1,34,2012-08-03,False
4677,1,34,2012-08-10,False
4678,1,34,2012-08-17,False
4679,1,34,2012-08-24,False
4680,1,34,2012-08-31,False
4815,1,35,2012-07-06,False
4816,1,35,2012-07-13,False
4817,1,35,2012-07-20,False
4818,1,35,2012-07-27,False
4819,1,35,2012-08-03,False
4820,1,35,2012-08-10,False
4821,1,35,2012-08-17,False
4822,1,35,2012-08-24,False
4823,1,35,2012-08-31,False
4958,1,36,2012-07-06,False
4959,1,36,2012-07-13,False
4960,1,36,2012-07-20,False
4961,1,36,2012-07-27,False
4962,1,36,2012-08-03,False
4963,1,36,2012-08-10,False
4964,1,36,2012-08-17,False
4965,1,36,2012-08-24,False
4966,1,36,2012-08-31,False
5101,1,37,2012-07-06,False
5102,1,37,2012-07-13,False
5103,1,37,2012-07-20,False
5104,1,37,2012-07-27,False
5105,1,37,2012-08-03,False
5106,1,37,2012-08-10,False
5107,1,37,2012-08-17,False
5108,1,37,2012-08-24,False
5109,1,37,2012-08-31,False
5244,1,38,2012-07-06,False
5245,1,38,2012-07-13,False
5246,1,38,2012-07-20,False
5247,1,38,2012-07-27,False
5248,1,38,2012-08-03,False
5249,1,38,2012-08-10,False
5250,1,38,2012-08-17,False
5251,1,38,2012-08-24,False
5252,1,38,2012-08-31,False
5387,1,40,2012-07-06,False
5388,1,40,2012-07-13,False
5389,1,40,2012-07-20,False
5390,1,40,2012-07-27,False
5391,1,40,2012-08-03,False
5392,1,40,2012-08-10,False
5393,1,40,2012-08-17,False
5394,1,40,2012-08-24,False
5395,1,40,2012-08-31,False
5530,1,41,2012-07-06,False
5531,1,41,2012-07-13,False
5532,1,41,2012-07-20,False
5533,1,41,2012-07-27,False
5534,1,41,2012-08-03,False
5535,1,41,2012-08-10,False
5536,1,41,2012-08-17,False
5537,1,41,2012-08-24,False
5538,1,41,2012-08-31,False
5673,1,42,2012-07-06,False
5674,1,42,2012-07-13,False
5675,1,42,2012-07-20,False
5676,1,42,2012-07-27,False
5677,1,42,2012-08-03,False
5678,1,42,2012-08-10,False
5679,1,42,2012-08-17,False
5680,1,42,2012-08-24,False
5681,1,42,2012-08-31,False
5816,1,44,2012-07-06,False
5817,1,44,2012-07-13,False
5818,1,44,2012-07-20,False
5819,1,44,2012-07-27,False
5820,1,44,2012-08-03,False
5821,1,44,2012-08-10,False
5822,1,44,2012-08-17,False
5823,1,44,2012-08-24,False
5824,1,44,2012-08-31,False
6030,1,46,2012-07-06,False
6031,1,46,2012-07-13,False
6032,1,46,2012-07-20,False
6033,1,46,2012-07-27,False
6034,1,46,2012-08-03,False
6035,1,46,2012-08-10,False
6036,1,46,2012-08-17,False
6037,1,46,2012-08-24,False
6038,1,46,2012-08-31,False
6066,1,47,2012-07-27,False
6067,1,47,2012-08-10,False
6178,1,48,2012-07-06,False
6179,1,48,2012-07-13,False
6180,1,48,2012-07-20,False
6181,1,48,2012-07-27,False
6182,1,48,2012-08-03,False
6183,1,48,2012-08-10,False
6184,1,48,2012-08-17,False
6185,1,48,2012-08-31,False
6320,1,49,2012-07-06,False
6321,1,49,2012-07-13,False
6322,1,49,2012-07-20,False
6323,1,49,2012-07-27,False
6324,1,49,2012-08-03,False
6325,1,49,2012-08-10,False
6326,1,49,2012-08-17,False
6327,1,49,2012-08-24,False
6328,1,49,2012-08-31,False
6496,1,52,2012-07-06,False
6497,1,52,2012-07-13,False
6498,1,52,2012-07-20,False
6499,1,52,2012-07-27,False
6500,1,52,2012-08-03,False
6501,1,52,2012-08-10,False
6502,1,52,2012-08-17,False
6503,1,52,2012-08-24,False
6504,1,52,2012-08-31,False
6630,1,54,2012-07-06,False
6631,1,54,2012-07-13,False
6632,1,54,2012-07-20,False
6633,1,54,2012-07-27,False
6634,1,54,2012-08-03,False
6635,1,54,2012-08-10,False
6636,1,54,2012-08-17,False
6637,1,54,2012-08-24,False
6638,1,54,2012-08-31,False
6772,1,55,2012-07-06,False
6773,1,55,2012-07-13,False
6774,1,55,2012-07-20,False
6775,1,55,2012-07-27,False
6776,1,55,2012-08-03,False
6777,1,55,2012-08-10,False
6778,1,55,2012-08-17,False
6779,1,55,2012-08-24,False
6780,1,55,2012-08-31,False
6915,1,56,2012-07-06,False
6916,1,56,2012-07-13,False
6917,1,56,2012-07-20,False
6918,1,56,2012-07-27,False
6919,1,56,2012-08-03,False
6920,1,56,2012-08-10,False
6921,1,56,2012-08-17,False
6922,1,56,2012-08-24,False
6923,1,56,2012-08-31,False
