,Store,Dept,Date,IsHoliday
82,1,1,2011-09-02,False
83,1,1,2011-09-09,True
84,1,1,2011-09-16,False
85,1,1,2011-09-23,False
86,1,1,2011-09-30,False
87,1,1,2011-10-07,False
88,1,1,2011-10-14,False
89,1,1,2011-10-21,False
90,1,1,2011-10-28,False
225,1,2,2011-09-02,False
226,1,2,2011-09-09,True
227,1,2,2011-09-16,False
228,1,2,2011-09-23,False
229,1,2,2011-09-30,False
230,1,2,2011-10-07,False
231,1,2,2011-10-14,False
232,1,2,2011-10-21,False
233,1,2,2011-10-28,False
368,1,3,2011-09-02,False
369,1,3,2011-09-09,True
370,1,3,2011-09-16,False
371,1,3,2011-09-23,False
372,1,3,2011-09-30,False
373,1,3,2011-10-07,False
374,1,3,2011-10-14,False
375,1,3,2011-10-21,False
376,1,3,2011-10-28,False
511,1,4,2011-09-02,False
512,1,4,2011-09-09,True
513,1,4,2011-09-16,False
514,1,4,2011-09-23,False
515,1,4,2011-09-30,False
516,1,4,2011-10-07,False
517,1,4,2011-10-14,False
518,1,4,2011-10-21,False
519,1,4,2011-10-28,False
654,1,5,2011-09-02,False
655,1,5,2011-09-09,True
656,1,5,2011-09-16,False
657,1,5,2011-09-23,False
658,1,5,2011-09-30,False
659,1,5,2011-10-07,False
660,1,5,2011-10-14,False
661,1,5,2011-10-21,False
662,1,5,2011-10-28,False
797,1,6,2011-09-02,False
798,1,6,2011-09-09,True
799,1,6,2011-09-16,False
800,1,6,2011-09-23,False
801,1,6,2011-09-30,False
802,1,6,2011-10-07,False
803,1,6,2011-10-14,False
804,1,6,2011-10-21,False
805,1,6,2011-10-28,False
940,1,7,2011-09-02,False
941,1,7,2011-09-09,True
942,1,7,2011-09-16,False
943,1,7,2011-09-23,False
944,1,7,2011-09-30,False
945,1,7,2011-10-07,False
946,1,7,2011-10-14,False
947,1,7,2011-10-21,False
948,1,7,2011-10-28,False
1083,1,8,2011-09-02,False
1084,1,8,2011-09-09,True
1085,1,8,2011-09-16,False
1086,1,8,2011-09-23,False
1087,1,8,2011-09-30,False
1088,1,8,2011-10-07,False
1089,1,8,2011-10-14,False
1090,1,8,2011-10-21,False
1091,1,8,2011-10-28,False
1226,1,9,2011-09-02,False
1227,1,9,2011-09-09,True
1228,1,9,2011-09-16,False
1229,1,9,2011-09-23,False
1230,1,9,2011-09-30,False
1231,1,9,2011-10-07,False
1232,1,9,2011-10-14,False
1233,1,9,2011-10-21,False
1234,1,9,2011-10-28,False
1369,1,10,2011-09-02,False
1370,1,10,2011-09-09,True
1371,1,10,2011-09-16,False
1372,1,10,2011-09-23,False
1373,1,10,2011-09-30,False
1374,1,10,2011-10-07,False
1375,1,10,2011-10-14,False
1376,1,10,2011-10-21,False
1377,1,10,2011-10-28,False
1512,1,11,2011-09-02,False
1513,1,11,2011-09-09,True
1514,1,11,2011-09-16,False
1515,1,11,2011-09-23,False
1516,1,11,2011-09-30,False
1517,1,11,2011-10-07,False
1518,1,11,2011-10-14,False
1519,1,11,2011-10-21,False
1520,1,11,2011-10-28,False
1655,1,12,2011-09-02,False
1656,1,12,2011-09-09,True
1657,1,12,2011-09-16,False
1658,1,12,2011-09-23,False
1659,1,12,2011-09-30,False
1660,1,12,2011-10-07,False
1661,1,12,2011-10-14,False
1662,1,12,2011-10-21,False
1663,1,12,2011-10-28,False
1798,1,13,2011-09-02,False
1799,1,13,2011-09-09,True
1800,1,13,2011-09-16,False
1801,1,13,2011-09-23,False
1802,1,13,2011-09-30,False
1803,1,13,2011-10-07,False
1804,1,13,2011-10-14,False
1805,1,13,2011-10-21,False
1806,1,13,2011-10-28,False
1941,1,14,2011-09-02,False
1942,1,14,2011-09-09,True
1943,1,14,2011-09-16,False
1944,1,14,2011-09-23,False
1945,1,14,2011-09-30,False
1946,1,14,2011-10-07,False
1947,1,14,2011-10-14,False
1948,1,14,2011-10-21,False
1949,1,14,2011-10-28,False
2084,1,16,2011-09-02,False
2085,1,16,2011-09-09,True
2086,1,16,2011-09-16,False
2087,1,16,2011-09-23,False
2088,1,16,2011-09-30,False
2089,1,16,2011-10-07,False
2090,1,16,2011-10-14,False
2091,1,16,2011-10-21,False
2092,1,16,2011-10-28,False
2227,1,17,2011-09-02,False
2228,1,17,2011-09-09,True
2229,1,17,2011-09-16,False
2230,1,17,2011-09-23,False
2231,1,17,2011-09-30,False
2232,1,17,2011-10-07,False
2233,1,17,2011-10-14,False
2234,1,17,2011-10-21,False
2235,1,17,2011-10-28,False
2349,1,18,2011-09-02,False
2350,1,18,2011-09-09,True
2351,1,18,2011-09-16,False
2352,1,18,2011-09-23,False
2353,1,18,2011-09-30,False
2354,1,18,2011-10-07,False
2355,1,18,2011-10-14,False
2356,1,18,2011-10-21,False
2357,1,18,2011-10-28,False
2483,1,19,2011-09-02,False
2484,1,19,2011-09-09,True
2485,1,19,2011-09-16,False
2486,1,19,2011-09-23,False
2487,1,19,2011-09-30,False
2488,1,19,2011-10-07,False
2489,1,19,2011-10-14,False
2490,1,19,2011-10-21,False
2491,1,19,2011-10-28,False
2626,1,20,2011-09-02,False
2627,1,20,2011-09-09,True
2628,1,20,2011-09-16,False
2629,1,20,2011-09-23,False
2630,1,20,2011-09-30,False
2631,1,20,2011-10-07,False
2632,1,20,2011-10-14,False
2633,1,20,2011-10-21,False
2634,1,20,2011-10-28,False
2769,1,21,2011-09-02,False
2770,1,21,2011-09-09,True
2771,1,21,2011-09-16,False
2772,1,21,2011-09-23,False
2773,1,21,2011-09-30,False
2774,1,21,2011-10-07,False
2775,1,21,2011-10-14,False
2776,1,21,2011-10-21,False
2777,1,21,2011-10-28,False
2912,1,22,2011-09-02,False
2913,1,22,2011-09-09,True
2914,1,22,2011-09-16,False
2915,1,22,2011-09-23,False
2916,1,22,2011-09-30,False
2917,1,22,2011-10-07,False
2918,1,22,2011-10-14,False
2919,1,22,2011-10-21,False
2920,1,22,2011-10-28,False
3055,1,23,2011-09-02,False
3056,1,23,2011-09-09,True
3057,1,23,2011-09-16,False
3058,1,23,2011-09-23,False
3059,1,23,2011-09-30,False
3060,1,23,2011-10-07,False
3061,1,23,2011-10-14,False
3062,1,23,2011-10-21,False
3063,1,23,2011-10-28,False
3198,1,24,2011-09-02,False
3199,1,24,2011-09-09,True
3200,1,24,2011-09-16,False
3201,1,24,2011-09-23,False
3202,1,24,2011-09-30,False
3203,1,24,2011-10-07,False
3204,1,24,2011-10-14,False
3205,1,24,2011-10-21,False
3206,1,24,2011-10-28,False
3341,1,25,2011-09-02,False
3342,1,25,2011-09-09,True
3343,1,25,2011-09-16,False
3344,1,25,2011-09-23,False
3345,1,25,2011-09-30,False
3346,1,25,2011-10-07,False
3347,1,25,2011-10-14,False
3348,1,25,2011-10-21,False
3349,1,25,2011-10-28,False
3484,1,26,2011-09-02,False
3485,1,26,2011-09-09,True
3486,1,26,2011-09-16,False
3487,1,26,2011-09-23,False
3488,1,26,2011-09-30,False
3489,1,26,2011-10-07,False
3490,1,26,2011-10-14,False
3491,1,26,2011-10-21,False
3492,1,26,2011-10-28,False
3627,1,27,2011-09-02,False
3628,1,27,2011-09-09,True
3629,1,27,2011-09-16,False
3630,1,27,2011-09-23,False
3631,1,27,2011-09-30,False
3632,1,27,2011-10-07,False
3633,1,27,2011-10-14,False
3634,1,27,2011-10-21,False
3635,1,27,2011-10-28,False
3770,1,28,2011-09-02,False
3771,1,28,2011-09-09,True
3772,1,28,2011-09-16,False
3773,1,28,2011-09-23,False
3774,1,28,2011-09-30,False
3775,1,28,2011-10-07,False
3776,1,28,2011-10-14,False
3777,1,28,2011-10-21,False
3778,1,28,2011-10-28,False
3913,1,29,2011-09-02,False
3914,1,29,2011-09-09,True
3915,1,29,2011-09-16,False
3916,1,29,2011-09-23,False
3917,1,29,2011-09-30,False
3918,1,29,2011-10-07,False
3919,1,29,2011-10-14,False
3920,1,29,2011-10-21,False
3921,1,29,2011-10-28,False
4056,1,30,2011-09-02,False
4057,1,30,2011-09-09,True
4058,1,30,2011-09-16,False
4059,1,30,2011-09-23,False
4060,1,30,2011-09-30,False
4061,1,30,2011-10-07,False
4062,1,30,2011-10-14,False
4063,1,30,2011-10-21,False
4064,1,30,2011-10-28,False
4199,1,31,2011-09-02,False
4200,1,31,2011-09-09,True
4201,1,31,2011-09-16,False
4202,1,31,2011-09-23,False
4203,1,31,2011-09-30,False
4204,1,31,2011-10-07,False
4205,1,31,2011-10-14,False
4206,1,31,2011-10-21,False
4207,1,31,2011-10-28,False
4342,1,32,2011-09-02,False
4343,1,32,2011-09-09,True
4344,1,32,2011-09-16,False
4345,1,32,2011-09-23,False
4346,1,32,2011-09-30,False
4347,1,32,2011-10-07,False
4348,1,32,2011-10-14,False
4349,1,32,2011-10-21,False
4350,1,32,2011-10-28,False
4485,1,33,2011-09-02,False
4486,1,33,2011-09-09,True
4487,1,33,2011-09-16,False
4488,1,33,2011-09-23,False
4489,1,33,2011-09-30,False
4490,1,33,2011-10-07,False
4491,1,33,2011-10-14,False
4492,1,33,2011-10-21,False
4493,1,33,2011-10-28,False
4628,1,34,2011-09-02,False
4629,1,34,2011-09-09,True
4630,1,34,2011-09-16,False
4631,1,34,2011-09-23,False
4632,1,34,2011-09-30,False
4633,1,34,2011-10-07,False
4634,1,34,2011-10-14,False
4635,1,34,2011-10-21,False
4636,1,34,2011-10-28,False
4771,1,35,2011-09-02,False
4772,1,35,2011-09-09,True
4773,1,35,2011-09-16,False
4774,1,35,2011-09-23,False
4775,1,35,2011-09-30,False
4776,1,35,2011-10-07,False
4777,1,35,2011-10-14,False
4778,1,35,2011-10-21,False
4779,1,35,2011-10-28,False
4914,1,36,2011-09-02,False
4915,1,36,2011-09-09,True
4916,1,36,2011-09-16,False
4917,1,36,2011-09-23,False
4918,1,36,2011-09-30,False
4919,1,36,2011-10-07,False
4920,1,36,2011-10-14,False
4921,1,36,2011-10-21,False
4922,1,36,2011-10-28,False
5057,1,37,2011-09-02,False
5058,1,37,2011-09-09,True
5059,1,37,2011-09-16,False
5060,1,37,2011-09-23,False
5061,1,37,2011-09-30,False
5062,1,37,2011-10-07,False
5063,1,37,2011-10-14,False
5064,1,37,2011-10-21,False
5065,1,37,2011-10-28,False
5200,1,38,2011-09-02,False
5201,1,38,2011-09-09,True
5202,1,38,2011-09-16,False
5203,1,38,2011-09-23,False
5204,1,38,2011-09-30,False
5205,1,38,2011-10-07,False
5206,1,38,2011-10-14,False
5207,1,38,2011-10-21,False
5208,1,38,2011-10-28,False
5343,1,40,2011-09-02,False
5344,1,40,2011-09-09,True
5345,1,40,2011-09-16,False
5346,1,40,2011-09-23,False
5347,1,40,2011-09-30,False
5348,1,40,2011-10-07,False
5349,1,40,2011-10-14,False
5350,1,40,2011-10-21,False
5351,1,40,2011-10-28,False
5486,1,41,2011-09-02,False
5487,1,41,2011-09-09,True
5488,1,41,2011-09-16,False
5489,1,41,2011-09-23,False
5490,1,41,2011-09-30,False
5491,1,41,2011-10-07,False
5492,1,41,2011-10-14,False
5493,1,41,2011-10-21,False
5494,1,41,2011-10-28,False
5629,1,42,2011-09-02,False
5630,1,42,2011-09-09,True
5631,1,42,2011-09-16,False
5632,1,42,2011-09-23,False
5633,1,42,2011-09-30,False
5634,1,42,2011-10-07,False
5635,1,42,2011-10-14,False
5636,1,42,2011-10-21,False
5637,1,42,2011-10-28,False
5772,1,44,2011-09-02,False
5773,1,44,2011-09-09,True
5774,1,44,2011-09-16,False
5775,1,44,2011-09-23,False
5776,1,44,2011-09-30,False
5777,1,44,2011-10-07,False
5778,1,44,2011-10-14,False
5779,1,44,2011-10-21,False
5780,1,44,2011-10-28,False
5881,1,45,2011-09-02,False
5882,1,45,2011-09-09,True
5883,1,45,2011-09-23,False
5884,1,45,2011-09-30,False
5885,1,45,2011-10-07,False
5886,1,45,2011-10-21,False
5887,1,45,2011-10-28,False
5986,1,46,2011-09-02,False
5987,1,46,2011-09-09,True
5988,1,46,2011-09-16,False
5989,1,46,2011-09-23,False
5990,1,46,2011-09-30,False
5991,1,46,2011-10-07,False
5992,1,46,2011-10-14,False
5993,1,46,2011-10-21,False
5994,1,46,2011-10-28,False
6061,1,47,2011-10-14,False
6135,1,48,2011-09-02,False
6136,1,48,2011-09-09,True
6137,1,48,2011-09-16,False
6138,1,48,2011-09-23,False
6139,1,48,2011-09-30,False
6140,1,48,2011-10-07,False
6141,1,48,2011-10-14,False
6142,1,48,2011-10-21,False
6143,1,48,2011-10-28,False
6276,1,49,2011-09-02,False
6277,1,49,2011-09-09,True
6278,1,49,2011-09-16,False
6279,1,49,2011-09-23,False
6280,1,49,2011-09-30,False
6281,1,49,2011-10-07,False
6282,1,49,2011-10-14,False
6283,1,49,2011-10-21,False
6284,1,49,2011-10-28,False
6452,1,52,2011-09-02,False
6453,1,52,2011-09-09,True
6454,1,52,2011-09-16,False
6455,1,52,2011-09-23,False
6456,1,52,2011-09-30,False
6457,1,52,2011-10-07,False
6458,1,52,2011-10-14,False
6459,1,52,2011-10-21,False
6460,1,52,2011-10-28,False
6591,1,54,2011-09-02,False
6592,1,54,2011-09-16,False
6593,1,54,2011-09-23,False
6594,1,54,2011-09-30,False
6595,1,54,2011-10-07,False
6596,1,54,2011-10-14,False
6597,1,54,2011-10-21,False
6598,1,54,2011-10-28,False
6728,1,55,2011-09-02,False
6729,1,55,2011-09-09,True
6730,1,55,2011-09-16,False
6731,1,55,2011-09-23,False
6732,1,55,2011-09-30,False
6733,1,55,2011-10-07,False
6734,1,55,2011-10-14,False
6735,1,55,2011-10-21,False
6736,1,55,2011-10-28,False
6871,1,56,2011-09-02,False
6872,1,56,2011-09-09,True
6873,1,56,2011-09-16,False
6874,1,56,2011-09-23,False
6875,1,56,2011-09-30,False
6876,1,56,2011-10-07,False
6877,1,56,2011-10-14,False
6878,1,56,2011-10-21,False
6879,1,56,2011-10-28,False
7014,1,58,2011-09-02,False
7015,1,58,2011-09-09,True
7016,1,58,2011-09-16,False
7017,1,58,2011-09-23,False
7018,1,58,2011-09-30,False
7019,1,58,2011-10-07,False
7020,1,58,2011-10-14,False
7021,1,58,2011-10-21,False
7022,1,58,2011-10-28,False
7157,1,59,2011-09-02,False
7158,1,59,2011-09-09,True
7159,1,59,2011-09-16,False
7160,1,59,2011-09-23,False
7161,1,59,2011-09-30,False
7162,1,59,2011-10-07,False
7163,1,59,2011-10-14,False
7164,1,59,2011-10-21,False
7165,1,59,2011-10-28,False
7300,1,60,2011-09-02,False
7301,1,60,2011-09-09,True
7302,1,60,2011-09-16,False
7303,1,60,2011-09-23,False
7304,1,60,2011-09-30,False
7305,1,60,2011-10-07,False
7306,1,60,2011-10-14,False
7307,1,60,2011-10-21,False
7308,1,60,2011-10-28,False
7443,1,67,2011-09-02,False
7444,1,67,2011-09-09,True
7445,1,67,2011-09-16,False
7446,1,67,2011-09-23,False
7447,1,67,2011-09-30,False
7448,1,67,2011-10-07,False
7449,1,67,2011-10-14,False
7450,1,67,2011-10-21,False
7451,1,67,2011-10-28,False
7586,1,71,2011-09-02,False
7587,1,71,2011-09-09,True
7588,1,71,2011-09-16,False
7589,1,71,2011-09-23,False
7590,1,71,2011-09-30,False
7591,1,71,2011-10-07,False
7592,1,71,2011-10-14,False
7593,1,71,2011-10-21,False
7594,1,71,2011-10-28,False
7729,1,72,2011-09-02,False
7730,1,72,2011-09-09,True
7731,1,72,2011-09-16,False
7732,1,72,2011-09-23,False
7733,1,72,2011-09-30,False
7734,1,72,2011-10-07,False
7735,1,72,2011-10-14,False
7736,1,72,2011-10-21,False
7737,1,72,2011-10-28,False
7872,1,74,2011-09-02,False
7873,1,74,2011-09-09,True
7874,1,74,2011-09-16,False
7875,1,74,2011-09-23,False
7876,1,74,2011-09-30,False
7877,1,74,2011-10-07,False
7878,1,74,2011-10-14,False
7879,1,74,2011-10-21,False
7880,1,74,2011-10-28,False
8022,1,79,2011-09-02,False
8023,1,79,2011-09-09,True
8024,1,79,2011-09-16,False
8025,1,79,2011-09-23,False
8026,1,79,2011-09-30,False
8027,1,79,2011-10-07,False
8028,1,79,2011-10-14,False
8029,1,79,2011-10-21,False
8030,1,79,2011-10-28,False
8165,1,80,2011-09-02,False
8166,1,80,2011-09-09,True
8167,1,80,2011-09-16,False
8168,1,80,2011-09-23,False
8169,1,80,2011-09-30,False
8170,1,80,2011-10-07,False
8171,1,80,2011-10-14,False
8172,1,80,2011-10-21,False
8173,1,80,2011-10-28,False
8308,1,81,2011-09-02,False
8309,1,81,2011-09-09,True
8310,1,81,2011-09-16,False
8311,1,81,2011-09-23,False
8312,1,81,2011-09-30,False
8313,1,81,2011-10-07,False
8314,1,81,2011-10-14,False
8315,1,81,2011-10-21,False
8316,1,81,2011-10-28,False
8451,1,82,2011-09-02,False
8452,1,82,2011-09-09,True
8453,1,82,2011-09-16,False
8454,1,82,2011-09-23,False
8455,1,82,2011-09-30,False
8456,1,82,2011-10-07,False
8457,1,82,2011-10-14,False
8458,1,82,2011-10-21,False
8459,1,82,2011-10-28,False
8594,1,83,2011-09-02,False
8595,1,83,2011-09-09,True
8596,1,83,2011-09-16,False
8597,1,83,2011-09-23,False
8598,1,83,2011-09-30,False
8599,1,83,2011-10-07,False
8600,1,83,2011-10-14,False
8601,1,83,2011-10-21,False
8602,1,83,2011-10-28,False
8737,1,85,2011-09-02,False
8738,1,85,2011-09-09,True
8739,1,85,2011-09-16,False
8740,1,85,2011-09-23,False
8741,1,85,2011-09-30,False
8742,1,85,2011-10-07,False
8743,1,85,2011-10-14,False
8744,1,85,2011-10-21,False
8745,1,85,2011-10-28,False
8880,1,87,2011-09-02,False
8881,1,87,2011-09-09,True
8882,1,87,2011-09-16,False
8883,1,87,2011-09-23,False
8884,1,87,2011-09-30,False
8885,1,87,2011-10-07,False
8886,1,87,2011-10-14,False
8887,1,87,2011-10-21,False
8888,1,87,2011-10-28,False
9023,1,90,2011-09-02,False
9024,1,90,2011-09-09,True
9025,1,90,2011-09-16,False
9026,1,90,2011-09-23,False
9027,1,90,2011-09-30,False
9028,1,90,2011-10-07,False
9029,1,90,2011-10-14,False
9030,1,90,2011-10-21,False
9031,1,90,2011-10-28,False
9166,1,91,2011-09-02,False
9167,1,91,2011-09-09,True
9168,1,91,2011-09-16,False
9169,1,91,2011-09-23,False
9170,1,91,2011-09-30,False
9171,1,91,2011-10-07,False
9172,1,91,2011-10-14,False
9173,1,91,2011-10-21,False
9174,1,91,2011-10-28,False
9309,1,92,2011-09-02,False
9310,1,92,2011-09-09,True
